2025-03-27 15:44:47 Vid: 000539.mp4,  Current sd_score: 0.7000207901000977, Current avg. sd_score: 0.689688918787405,  
2025-03-27 15:44:49 Vid: 000189.mp4,  Current sd_score: 0.6361726522445679, Current avg. sd_score: 0.6892024072733792,  
2025-03-27 15:44:51 Vid: 000338.mp4,  Current sd_score: 0.6902245879173279, Current avg. sd_score: 0.6892116161080094,  
2025-03-27 15:44:53 Vid: 000761.mp4,  Current sd_score: 0.7119795083999634, Current avg. sd_score: 0.6894149008606162,  
2025-03-27 15:44:55 Vid: 000657.mp4,  Current sd_score: 0.6759612560272217, Current avg. sd_score: 0.6892958420567807,  
2025-03-27 15:44:57 Vid: 000874.mp4,  Current sd_score: 0.6635329723358154, Current avg. sd_score: 0.6890698519715092,  
2025-03-27 15:44:59 Vid: 000972.mp4,  Current sd_score: 0.7334606051445007, Current avg. sd_score: 0.6894558585208396,  
2025-03-27 15:45:01 Vid: 000955.mp4,  Current sd_score: 0.6024723649024963, Current avg. sd_score: 0.6887060008172331,  
2025-03-27 15:45:03 Vid: 000882.mp4,  Current sd_score: 0.8041132688522339, Current avg. sd_score: 0.6896923877235152,  
2025-03-27 15:45:05 Vid: 000961.mp4,  Current sd_score: 0.6715270280838013, Current avg. sd_score: 0.6895384439977549,  
2025-03-27 15:45:07 Vid: 000112.mp4,  Current sd_score: 0.7298310995101929, Current avg. sd_score: 0.6898770377415568,  
2025-03-27 15:45:09 Vid: 000636.mp4,  Current sd_score: 0.6666068434715271, Current avg. sd_score: 0.6896831194559733,  
2025-03-27 15:45:11 Vid: 000616.mp4,  Current sd_score: 0.5599679946899414, Current avg. sd_score: 0.6886110936314607,  
2025-03-27 15:45:13 Vid: 000934.mp4,  Current sd_score: 0.7365463376045227, Current avg. sd_score: 0.6890040054673054,  
2025-03-27 15:45:15 Vid: 000496.mp4,  Current sd_score: 0.6859226822853088, Current avg. sd_score: 0.6889789540593217,  
2025-03-27 15:45:17 Vid: 000176.mp4,  Current sd_score: 0.6634658575057983, Current avg. sd_score: 0.6887732032806643,  
2025-03-27 15:45:19 Vid: 000022.mp4,  Current sd_score: 0.7517751455307007, Current avg. sd_score: 0.6892772188186645,  
2025-03-27 15:45:20 Vid: 000105.mp4,  Current sd_score: 0.6489661931991577, Current avg. sd_score: 0.6889572900439066,  
2025-03-27 15:45:22 Vid: 000184.mp4,  Current sd_score: 0.724695086479187, Current avg. sd_score: 0.6892386900158379,  
2025-03-27 15:45:24 Vid: 000170.mp4,  Current sd_score: 0.6470277309417725, Current avg. sd_score: 0.6889089168980718,  
2025-03-27 15:45:26 Vid: 000026.mp4,  Current sd_score: 0.7111199498176575, Current avg. sd_score: 0.689081095447836,  
2025-03-27 15:45:28 Vid: 000504.mp4,  Current sd_score: 0.6367874145507812, Current avg. sd_score: 0.6886788363640125,  
2025-03-27 15:45:30 Vid: 000121.mp4,  Current sd_score: 0.7232240438461304, Current avg. sd_score: 0.6889425402379218,  
2025-03-27 15:45:32 Vid: 000888.mp4,  Current sd_score: 0.7037768363952637, Current avg. sd_score: 0.6890549212694168,  
2025-03-27 15:45:34 Vid: 000327.mp4,  Current sd_score: 0.6857132911682129, Current avg. sd_score: 0.6890297962310619,  
2025-03-27 15:45:36 Vid: 000567.mp4,  Current sd_score: 0.7617940306663513, Current avg. sd_score: 0.6895728129059521,  
2025-03-27 15:45:38 Vid: 000466.mp4,  Current sd_score: 0.7176071405410767, Current avg. sd_score: 0.6897804745921382,  
2025-03-27 15:45:40 Vid: 000236.mp4,  Current sd_score: 0.7386939525604248, Current avg. sd_score: 0.6901401325183756,  
2025-03-27 15:45:42 Vid: 000846.mp4,  Current sd_score: 0.7793267369270325, Current avg. sd_score: 0.6907911296308475,  
2025-03-27 15:45:44 Vid: 000541.mp4,  Current sd_score: 0.7404119968414307, Current avg. sd_score: 0.6911507011323735,  
2025-03-27 15:45:46 Vid: 000442.mp4,  Current sd_score: 0.6852641701698303, Current avg. sd_score: 0.6911083519887581,  
2025-03-27 15:45:48 Vid: 000386.mp4,  Current sd_score: 0.677052915096283, Current avg. sd_score: 0.6910079560109548,  
2025-03-27 15:45:50 Vid: 000792.mp4,  Current sd_score: 0.7190870642662048, Current avg. sd_score: 0.6912070986226941,  
2025-03-27 15:45:52 Vid: 000028.mp4,  Current sd_score: 0.6619208455085754, Current avg. sd_score: 0.6910008574035805,  
2025-03-27 15:45:53 Vid: 000692.mp4,  Current sd_score: 0.6223567128181458, Current avg. sd_score: 0.6905208284204657,  
2025-03-27 15:45:55 Vid: 000164.mp4,  Current sd_score: 0.7054871320724487, Current avg. sd_score: 0.6906247610847155,  
2025-03-27 15:45:57 Vid: 000313.mp4,  Current sd_score: 0.6330833435058594, Current avg. sd_score: 0.6902279237221027,  
